ascii_value,name_len,num_vowels,num_consonent,last_letter_vowel,class
104.333,9,4,5,1,1
104.4,5,3,2,1,1
103.667,6,3,3,1,1
103.857,7,4,3,1,1
103.833,6,4,2,1,1
105.5,6,3,3,1,1
105.4,10,4,6,1,1
105.364,11,5,6,1,1
106.833,6,3,3,1,1
105.429,7,4,3,1,1
103.8,5,3,2,1,1
103.833,6,3,3,1,1
103.429,7,4,3,1,1
103.625,8,5,3,1,1
104.0,7,4,3,1,1
105.833,6,3,3,1,1
106.5,4,2,2,0,1
104.6,5,3,2,1,1
104.5,6,3,3,0,1
105.333,9,4,5,0,1
104.5,10,5,5,1,1
104.545,11,6,5,1,1
105.875,8,3,5,0,1
104.889,9,4,5,1,1
104.5,10,5,5,1,1
104.9,10,5,5,1,1
105.364,11,5,6,1,1
106.5,10,4,6,1,1
106.333,6,3,3,0,1
103.857,7,4,3,1,1
106.429,7,3,4,0,1
107.0,6,3,3,0,1
106.2,5,3,2,1,1
104.667,6,4,2,1,1
104.571,7,4,3,0,1
104.375,8,5,3,1,1
105.333,6,4,2,1,1
105.429,7,4,3,1,1
107.667,6,3,3,0,1
108.714,7,3,4,0,1
109.0,7,4,3,0,1
108.833,6,3,3,0,1
106.333,6,3,3,1,1
105.9,10,4,6,1,1
106.143,7,4,3,1,1
108.714,7,3,4,0,1
107.571,7,3,4,1,1
111.0,7,2,5,0,1
109.667,6,3,3,0,1
109.2,5,2,3,0,1
107.167,6,3,3,1,1
106.857,7,4,3,1,1
109.429,7,3,4,0,1
111.143,7,3,4,0,1
109.4,5,2,3,0,1
107.333,6,3,3,1,1
110.333,6,2,4,0,1
111.0,7,2,5,0,1
107.5,6,3,3,1,1
106.6,10,4,6,1,1
106.091,11,5,6,1,1
106.455,11,5,6,1,1
104.8,5,3,2,1,1
104.667,6,3,3,0,1
104.0,6,3,3,1,1
105.667,6,3,3,1,1
106.143,7,3,4,1,1
106.25,8,3,5,1,1
107.714,7,3,4,1,1
107.667,6,3,3,1,1
105.111,9,4,5,1,1
107.667,6,3,3,0,1
101.0,4,2,2,1,1
106.111,9,4,5,1,1
103.667,6,2,4,0,1
102.714,7,3,4,1,1
103.0,8,4,4,1,1
104.714,7,3,4,1,1
103.0,8,4,4,1,1
106.375,8,3,5,1,1
103.0,8,4,4,1,1
102.0,5,3,2,1,1
103.833,6,3,3,1,1
103.333,3,2,1,1,1
101.75,4,3,1,1,1
102.2,5,3,2,0,1
102.333,6,4,2,1,1
102.571,7,4,3,0,1
103.429,7,4,3,1,1
103.5,8,4,4,0,1
106.857,7,3,4,0,1
106.333,6,3,3,0,1
107.571,7,3,4,0,1
101.2,5,3,2,1,1
102.0,5,3,2,1,1
101.167,6,4,2,1,1
103.333,6,3,3,0,1
101.667,6,3,3,1,1
101.833,6,4,2,1,1
102.25,8,5,3,1,1
102.0,6,3,3,1,1
101.4,5,3,2,1,1
102.75,4,3,1,1,1
101.6,5,4,1,1,1
103.0,6,4,2,1,1
103.667,6,4,2,1,1
103.857,7,4,3,1,1
102.2,5,3,2,1,1
102.833,6,3,3,0,1
104.25,4,2,2,0,1
102.8,5,3,2,1,1
103.167,6,3,3,0,1
105.833,6,3,3,0,1
103.2,5,3,2,1,1
105.0,4,2,2,0,1
103.4,5,3,2,1,1
